epoch,train_loss,val_loss,val_mae,val_rmse
1,0.15427184335158103,0.23551933023326516,0.34398955964806815,0.43985417852890746
2,0.10023963058120687,0.24063671720920524,0.348096978284596,0.4529758268250746
3,0.08649362011270995,0.24776609907255642,0.34451204476963165,0.4476840886351531
4,0.07724344395029567,0.22796294712708298,0.3265074587794134,0.4251669475741203
5,0.06929670047236611,0.23428601116690095,0.3286087787143664,0.4277135478250716
6,0.06312157327734692,0.24472187974503612,0.33644278110595405,0.4352026737265719
7,0.05957404373217224,0.2337744062332042,0.3295925781594354,0.42457624660543913
8,0.05506062390364978,0.23662672800404963,0.32793098323668973,0.42474228798435165
9,0.04625965123942512,0.23709963238743134,0.3258313288557711,0.42318351716090874
10,0.044965582175784516,0.2374200951168144,0.3225603921043594,0.4213792177720838
