epoch,train_loss,val_loss,val_mae,val_rmse
1,0.34106189757585526,0.3810613841438621,0.41400088091388687,0.5715381928943969
2,0.31803436338501107,0.4170571803931539,0.45508816187997103,0.604204265511463
3,0.3089650300780093,0.36637280990422166,0.4077873060667983,0.5545067526040428
4,0.30443022464493186,0.3631111016359945,0.4033608816834229,0.5589861477477641
5,0.30014701353496875,0.3975770126734903,0.44430367975014007,0.5890994772740225
6,0.2977557419557947,0.3377171592174285,0.37985396937632404,0.5339242169987973
7,0.2934052989659062,0.3520007984905738,0.39816921048475373,0.5501420919193369
8,0.29119908743879386,0.34412356821080436,0.3920116230631253,0.5399933016765683
9,0.2874342679920215,0.3464203692606605,0.38936416988617306,0.5424927355035439
10,0.28573308663439156,0.36085754300782774,0.40716456545317437,0.5562397602404476
11,0.27532074035586873,0.3577466746994007,0.4100107850690329,0.5573734433654551
12,0.27109503266964674,0.34300148877443304,0.3907010175593036,0.5405869009067152
